algorithm,simulation_id,timestamp,target_range,status,target_ppi,target_ppi_val,arriaval_distr_mean,resource_count_UnifiedResourceProfile
grid_search,sim_123,2025-10-22T09:46:36.555135Z,"[12744.0, 15577.0]",out,cycle_time,15695.83,1451.0204081632653,25
grid_search,sim_124,2025-10-22T09:46:40.254829Z,"[12744.0, 15577.0]",out,cycle_time,15642.34,1451.0204081632653,26
grid_search,sim_125,2025-10-22T09:46:44.558400Z,"[12744.0, 15577.0]",out,cycle_time,18042417.18,1738.7755102040817,2
grid_search,sim_126,2025-10-22T09:46:48.571372Z,"[12744.0, 15577.0]",out,cycle_time,10143754.82,1738.7755102040817,3
grid_search,sim_127,2025-10-22T09:46:52.603141Z,"[12744.0, 15577.0]",out,cycle_time,6242196.13,1738.7755102040817,4
grid_search,sim_128,2025-10-22T09:46:56.340376Z,"[12744.0, 15577.0]",out,cycle_time,3813731.11,1738.7755102040817,5
grid_search,sim_129,2025-10-22T09:47:00.143550Z,"[12744.0, 15577.0]",out,cycle_time,2266130.34,1738.7755102040817,6
grid_search,sim_130,2025-10-22T09:47:04.009351Z,"[12744.0, 15577.0]",out,cycle_time,1125239.4,1738.7755102040817,7
grid_search,sim_131,2025-10-22T09:47:07.826480Z,"[12744.0, 15577.0]",out,cycle_time,321620.47,1738.7755102040817,8
grid_search,sim_132,2025-10-22T09:47:11.780658Z,"[12744.0, 15577.0]",out,cycle_time,18909.79,1738.7755102040817,9
grid_search,sim_133,2025-10-22T09:47:15.622749Z,"[12744.0, 15577.0]",out,cycle_time,16664.7,1738.7755102040817,10
grid_search,sim_134,2025-10-22T09:47:20.084534Z,"[12744.0, 15577.0]",out,cycle_time,15949.68,1738.7755102040817,11
grid_search,sim_135,2025-10-22T09:47:23.816711Z,"[12744.0, 15577.0]",in,cycle_time,15555.62,1738.7755102040817,12
grid_search,sim_136,2025-10-22T09:47:27.594761Z,"[12744.0, 15577.0]",out,cycle_time,15622.0,1738.7755102040817,13
grid_search,sim_137,2025-10-22T09:47:31.392374Z,"[12744.0, 15577.0]",in,cycle_time,15433.37,1738.7755102040817,14
grid_search,sim_138,2025-10-22T09:47:35.007947Z,"[12744.0, 15577.0]",in,cycle_time,15481.32,1738.7755102040817,15
grid_search,sim_139,2025-10-22T09:47:38.804937Z,"[12744.0, 15577.0]",in,cycle_time,15346.23,1738.7755102040817,16
grid_search,sim_140,2025-10-22T09:47:42.597832Z,"[12744.0, 15577.0]",in,cycle_time,15293.4,1738.7755102040817,17
grid_search,sim_141,2025-10-22T09:47:46.209587Z,"[12744.0, 15577.0]",in,cycle_time,15329.27,1738.7755102040817,18
grid_search,sim_142,2025-10-22T09:47:50.083625Z,"[12744.0, 15577.0]",in,cycle_time,15410.06,1738.7755102040817,19
grid_search,sim_143,2025-10-22T09:47:53.703845Z,"[12744.0, 15577.0]",in,cycle_time,15278.07,1738.7755102040817,20
