case_id,activity,enable_time,start_time,end_time,resource
7,Check application form completeness,2025-06-23 13:51:40.000000+00:00,2025-06-23 13:51:40.000000+00:00,2025-06-23 14:16:40.000000+00:00,UnifiedResource_16
8,Assess loan risk,2025-06-23 13:55:00.000000+00:00,2025-06-23 13:55:00.000000+00:00,2025-06-23 14:24:10.000000+00:00,UnifiedResource_2
9,Appraise property,2025-06-23 13:55:00.000000+00:00,2025-06-23 13:55:00.000000+00:00,2025-06-23 14:25:00.000000+00:00,UnifiedResource_17
9,AML check,2025-06-23 13:55:00.000000+00:00,2025-06-23 13:55:00.000000+00:00,2025-06-23 14:25:00.000000+00:00,UnifiedResource_0
9,Check credit history,2025-06-23 13:55:00.000000+00:00,2025-06-23 13:55:00.000000+00:00,2025-06-23 14:21:40.000000+00:00,UnifiedResource_1
10,Check application form completeness,2025-06-23 14:00:00.000000+00:00,2025-06-23 14:00:00.000000+00:00,2025-06-23 14:25:00.000000+00:00,UnifiedResource_8
6,Approve loan offer,2025-06-23 14:14:10.000000+00:00,2025-06-23 14:14:10.000000+00:00,2025-06-23 14:29:10.000000+00:00,UnifiedResource_18
7,Appraise property,2025-06-23 14:16:40.000000+00:00,2025-06-23 14:16:40.000000+00:00,2025-06-23 14:46:40.000000+00:00,UnifiedResource_5
7,Check credit history,2025-06-23 14:16:40.000000+00:00,2025-06-23 14:16:40.000000+00:00,2025-06-23 14:43:20.000000+00:00,UnifiedResource_7
7,AML check,2025-06-23 14:16:40.000000+00:00,2025-06-23 14:16:40.000000+00:00,2025-06-23 14:46:40.000000+00:00,UnifiedResource_4
8,Reject application,2025-06-23 14:24:10.000000+00:00,2025-06-23 14:24:10.000000+00:00,2025-06-23 14:57:30.000000+00:00,UnifiedResource_3
9,Assess loan risk,2025-06-23 14:25:00.000000+00:00,2025-06-23 14:25:00.000000+00:00,2025-06-23 14:54:10.000000+00:00,UnifiedResource_6
10,AML check,2025-06-23 14:25:00.000000+00:00,2025-06-23 14:25:00.000000+00:00,2025-06-23 14:55:00.000000+00:00,UnifiedResource_15
10,Appraise property,2025-06-23 14:25:00.000000+00:00,2025-06-23 14:25:00.000000+00:00,2025-06-23 14:55:00.000000+00:00,UnifiedResource_11
10,Check credit history,2025-06-23 14:25:00.000000+00:00,2025-06-23 14:25:00.000000+00:00,2025-06-23 14:51:40.000000+00:00,UnifiedResource_10
6,Cancel application,2025-06-23 14:29:10.000000+00:00,2025-06-23 14:29:10.000000+00:00,2025-06-23 14:49:10.000000+00:00,UnifiedResource_13
11,Check application form completeness,2025-06-23 14:30:00.000000+00:00,2025-06-23 14:30:00.000000+00:00,2025-06-23 14:55:00.000000+00:00,UnifiedResource_14
7,Assess loan risk,2025-06-23 14:46:40.000000+00:00,2025-06-23 14:46:40.000000+00:00,2025-06-23 15:15:50.000000+00:00,UnifiedResource_9
9,Reject application,2025-06-23 14:54:10.000000+00:00,2025-06-23 14:54:10.000000+00:00,2025-06-23 15:27:30.000000+00:00,UnifiedResource_12
10,Assess loan risk,2025-06-23 14:55:00.000000+00:00,2025-06-23 14:55:00.000000+00:00,2025-06-23 15:24:10.000000+00:00,UnifiedResource_16
11,Check credit history,2025-06-23 14:55:00.000000+00:00,2025-06-23 14:55:00.000000+00:00,2025-06-23 15:21:40.000000+00:00,UnifiedResource_1
11,AML check,2025-06-23 14:55:00.000000+00:00,2025-06-23 14:55:00.000000+00:00,2025-06-23 15:25:00.000000+00:00,UnifiedResource_2
11,Appraise property,2025-06-23 14:55:00.000000+00:00,2025-06-23 14:55:00.000000+00:00,2025-06-23 15:25:00.000000+00:00,UnifiedResource_17
12,Check application form completeness,2025-06-23 15:00:00.000000+00:00,2025-06-23 15:00:00.000000+00:00,2025-06-23 15:25:00.000000+00:00,UnifiedResource_0
7,Reject application,2025-06-23 15:15:50.000000+00:00,2025-06-23 15:15:50.000000+00:00,2025-06-23 15:49:10.000000+00:00,UnifiedResource_8
10,Design loan offer,2025-06-23 15:24:10.000000+00:00,2025-06-23 15:24:10.000000+00:00,2025-06-23 16:14:10.000000+00:00,UnifiedResource_18
11,Assess loan risk,2025-06-23 15:25:00.000000+00:00,2025-06-23 15:25:00.000000+00:00,2025-06-23 15:54:10.000000+00:00,UnifiedResource_7
12,Check credit history,2025-06-23 15:25:00.000000+00:00,2025-06-23 15:25:00.000000+00:00,2025-06-23 15:51:40.000000+00:00,UnifiedResource_5
12,AML check,2025-06-23 15:25:00.000000+00:00,2025-06-23 15:25:00.000000+00:00,2025-06-23 15:55:00.000000+00:00,UnifiedResource_4
12,Appraise property,2025-06-23 15:25:00.000000+00:00,2025-06-23 15:25:00.000000+00:00,2025-06-23 15:55:00.000000+00:00,UnifiedResource_13
13,Check application form completeness,2025-06-23 15:30:00.000000+00:00,2025-06-23 15:30:00.000000+00:00,2025-06-23 15:55:00.000000+00:00,UnifiedResource_10
11,Design loan offer,2025-06-23 15:54:10.000000+00:00,2025-06-23 15:54:10.000000+00:00,2025-06-23 16:44:10.000000+00:00,UnifiedResource_6
12,Assess loan risk,2025-06-23 15:55:00.000000+00:00,2025-06-23 15:55:00.000000+00:00,2025-06-23 16:24:10.000000+00:00,UnifiedResource_15
13,Check credit history,2025-06-23 15:55:00.000000+00:00,2025-06-23 15:55:00.000000+00:00,2025-06-23 16:21:40.000000+00:00,UnifiedResource_11
13,AML check,2025-06-23 15:55:00.000000+00:00,2025-06-23 15:55:00.000000+00:00,2025-06-23 16:25:00.000000+00:00,UnifiedResource_14
13,Appraise property,2025-06-23 15:55:00.000000+00:00,2025-06-23 15:55:00.000000+00:00,2025-06-23 16:25:00.000000+00:00,UnifiedResource_3
10,Approve loan offer,2025-06-23 16:14:10.000000+00:00,2025-06-23 16:14:10.000000+00:00,2025-06-23 16:29:10.000000+00:00,UnifiedResource_9
12,Reject application,2025-06-23 16:24:10.000000+00:00,2025-06-23 16:24:10.000000+00:00,2025-06-23 16:57:30.000000+00:00,UnifiedResource_1
13,Assess loan risk,2025-06-23 16:25:00.000000+00:00,2025-06-23 16:25:00.000000+00:00,2025-06-23 16:54:10.000000+00:00,UnifiedResource_16
10,Cancel application,2025-06-23 16:29:10.000000+00:00,2025-06-23 16:29:10.000000+00:00,2025-06-23 16:49:10.000000+00:00,UnifiedResource_2
11,Approve loan offer,2025-06-23 16:44:10.000000+00:00,2025-06-23 16:44:10.000000+00:00,2025-06-23 16:59:10.000000+00:00,UnifiedResource_17
13,Design loan offer,2025-06-23 16:54:10.000000+00:00,2025-06-23 16:54:10.000000+00:00,2025-06-24 09:44:10.000000+00:00,UnifiedResource_0
11,Cancel application,2025-06-23 16:59:10.000000+00:00,2025-06-23 16:59:10.000000+00:00,2025-06-24 09:19:10.000000+00:00,UnifiedResource_12
14,Check application form completeness,2025-06-24 07:00:00.000000+00:00,2025-06-24 09:00:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,UnifiedResource_8
15,Check application form completeness,2025-06-24 07:30:00.000000+00:00,2025-06-24 09:00:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,UnifiedResource_5
16,Check application form completeness,2025-06-24 08:00:00.000000+00:00,2025-06-24 09:00:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,UnifiedResource_7
17,Check application form completeness,2025-06-24 08:30:00.000000+00:00,2025-06-24 09:00:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,UnifiedResource_4
18,Check application form completeness,2025-06-24 09:00:00.000000+00:00,2025-06-24 09:00:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,UnifiedResource_13
14,Check credit history,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:51:40.000000+00:00,UnifiedResource_10
14,Appraise property,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,UnifiedResource_18
14,AML check,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,UnifiedResource_11
15,Check credit history,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:51:40.000000+00:00,UnifiedResource_15
